Temps;EA4;Temps;theta;Temps;thetadeg
885;-0.473646300379187;885;0.156462406849982;885;8.96463556496274
888;-0.47162842284888;888;0.155933245812832;888;8.93431687085129
891;-0.499878708273172;891;0.16334150033293;891;9.3587785884116
894;-0.494329545064829;894;0.161886307480768;894;9.27540217960511
897;-0.470619484083727;897;0.155668665294257;897;8.91915752379556
0.9;-0.461034565814771;0.9;0.153155150367795;0.9;8.77514372676617
903;-0.500383177655749;903;0.163473790592217;903;9.36635826193947
906;-0.492311667534523;906;0.161357146443618;906;9.24508348549366
909;-0.491302728769369;909;0.161092565925043;909;9.22992413843794
912;-0.506436810246669;912;0.165061273703667;912;9.45731434427382
915;-0.507445749011822;915;0.165325854222242;915;9.47247369132955
918;-0.501392116420902;918;0.163738371110792;918;9.38151760899519
921;-0.48222227988299;921;0.158711341257869;921;9.09349001493641
924;-0.507950218394399;924;0.165458144481529;924;9.48005336485741
927;-0.499374238890596;927;0.163209210073642;927;9.35119891488374
0.93;-0.47919546358753;0.93;0.157917599702144;0.93;9.04801197376923
933;-0.503914463333786;933;0.164399822407229;933;9.41941597663451
936;-0.511985973455012;936;0.166516466555829;936;9.54069075308031
939;-0.55738821788691;939;0.1784225898917;939;10.222861370588
942;-0.46708819840569;942;0.154742633479245;942;8.86609980910052
945;-0.510977034689859;945;0.166251886037254;945;9.52553140602458
948;-0.488780381856486;948;0.160431114628606;948;9.19202577079862
951;-0.480204402352683;951;0.158182180220719;951;9.06317132082496
954;-0.510472565307282;954;0.166119595777966;954;9.51795173249672
957;-0.485753565561026;957;0.159637373072881;957;9.14654772963145
0.96;-0.508959157159552;0.96;0.165722725000104;0.96;9.49521271191313
963;-0.510472565307282;963;0.166119595777966;963;9.51795173249672
966;-0.505427871481515;966;0.164796693185092;966;9.44215499721809
969;-0.498869769508019;969;0.163076919814355;969;9.34361924135588
972;-0.495338483829983;972;0.162150887999343;972;9.29056152666084
975;-0.516021728515625;975;0.167574788630128;975;9.60132814130321
978;-0.517030667280778;978;0.167839369148703;978;9.61648748835894
981;-0.535696034436114;981;0.172734108742339;981;9.89693540888986
984;-0.502905524568632;984;0.164135241888654;984;9.40425662957878
987;-0.495842953212559;987;0.16228317825863;987;9.2981412001887
0.99;-0.498869769508019;0.99;0.163076919814355;0.99;9.34361924135588
993;-0.499374238890596;993;0.163209210073642;993;9.35119891488374
996;-0.491302728769369;996;0.161092565925043;996;9.22992413843794
999;-0.525606646784581;999;0.17008830355659;999;9.74534193833261
1002;-0.48070887173526;1002;0.158314470480006;1002;9.07075099435282
1005;-0.485753565561026;1005;0.159637373072881;1005;9.14654772963145
1008;-0.510977034689859;1008;0.166251886037254;1008;9.52553140602458
1011;-0.497860830742866;1011;0.16281233929578;1011;9.32845989430015
1014;-0.486258034943603;1014;0.159769663332168;1014;9.15412740315931
1017;-0.475664177909493;1017;0.156991567887132;1017;8.99495425907419
1.02;-0.509463626542129;1.02;0.165855015259391;1.02;9.502792385441
1023;-0.46708819840569;1023;0.154742633479245;1023;8.86609980910052
1026;-0.465574790257961;1026;0.154345762701382;1026;8.84336078851694
1029;-0.452963055693544;1029;0.151038506219196;1029;8.65386895032037
1032;-0.460530096432194;1032;0.153022860108508;1032;8.76756405323831
1035;-0.454476463841274;1035;0.151435376997058;1035;8.67660797090396
1038;-0.447918361867778;1038;0.149715603626321;1038;8.57807221504174
1041;-0.460025627049617;1041;0.15289056984922;1041;8.75998437971045
1044;-0.442873668042012;1044;0.148392701033447;1044;8.50227547976311
1047;-0.472637361614034;1047;0.156197826331407;1047;8.94947621790701
1.05;-0.438333443598822;1.05;0.14720208869986;1.05;8.43405841801235
