Temps;EA4
0,186;0,171376904356293
0,188;0,168346366495825
0,19;0,0759149617515504
0,192;-0,0730864830547944
0,194;-0,159456812078133
0,196;-0,185216383892111
0,198;-0,103391861659475
0,2;0,0279314456274733
0,202;0,151678408263251
0,204;0,180973607581109
0,206;0,119857760728337
0,208;-0,0048993811942637
0,21;-0,128646343830042
0,212;-0,18824692175258
0,214;-0,135212509194389
0,216;-0,0296487737214193
0,218;0,108240698929876
0,22;0,182993966154754
0,222;0,171881993999705
0,224;0,0360128799220547
0,226;-0,0988460548687726
0,228;-0,176124770310707
0,23;-0,165012798155658
0,232;-0,0781373794889078
0,234;0,067833527456969
0,236;0,167841276852414
0,238;0,174407442216761
0,24;0,0890472924802452
0,242;-0,0402556562330574
0,244;-0,156426274217665
0,246;-0,168548425659537
0,248;-0,118544550961815
0,25;0,0122736666817218
0,252;0,126929015736096
0,254;0,187034683302045
0,256;0,130464643239975
0,258;0,0112634873948991
0,26;-0,116524192388169
0,262;-0,165012798155658
0,264;-0,152385557070374
0,266;-0,03368949086871
0,268;0,0935930992709473
0,27;0,170366725069471
0,272;0,161780201131478
0,274;0,069348796387203
0,276;-0,0594490626826882
0,278;-0,160972081008367
0,28;-0,16955860494636
0,282;-0,0756119312718511
0,284;0,0400535970693454
0,286;0,145617332542315
0,288;0,176932890433818
0,29;0,111776326433755
0,292;-0,0225775187136605
0,294;-0,129656523116864
0,296;-0,174609501380473
0,298;-0,136727778124623
0,3;-0,0165164429927245
0,302;0,126423926092684
0,304;0,177943069720641
0,306;0,135010450030677
0,308;0,0425790452864021
0,31;-0,0907646205741912
0,312;-0,17713494959753
0,314;-0,153395736357197
0,316;-0,0564185248222202
0,318;0,0713691549608484
0,32;0,164810738991946
0,322;0,175922711146995
0,324;0,0759149617515504
0,326;-0,0518727180315182
0,328;-0,15440591564402
0,33;-0,175114591023885
0,332;-0,10541222023312
0,334;0,0198500113328919
0,336;0,142081705038436
0,338;0,184509235084988
0,34;0,129959553596564
0,342;0,0147991148987785
0,344;-0,113493654527701
0,346;-0,171578963520005
0,348;-0,137737957411446
0,35;-0,0286385944345966
0,352;0,0981389060616493
0,354;0,161780201131478
0,356;0,141576615395024
0,358;0,0476299417205155
0,36;-0,072581393411383
0,362;-0,15440591564402
0,364;-0,162487349938601
0,366;-0,0670254073338583
0,368;0,0552062863716856
0,37;0,146122422185726
0,372;0,163295470061712
0,374;0,0845014856895432
0,376;-0,0180317119229585
0,378;-0,134707419550978
0,38;-0,171073873876594
0,382;-0,113998744171113
0,384;0,000656604883261025
0,386;0,102684712852351
0,388;0,175417621503584
0,39;0,137030808604322
0,392;0,0259110870538279
0,394;-0,0892493516439572
0,396;-0,165012798155658
0,398;-0,151375377783552
0,4;-0,0518727180315182
0,402;0,0738946031779051
0,404;0,167841276852414
0,406;0,155719125410542
0,408;0,0708640653174371
0,41;-0,0528828973183408
0,412;-0,148849929566495
0,414;-0,152385557070374
0,416;-0,0826831862796098
0,418;0,0324772524181753
0,42;0,135010450030677
0,422;0,172892173286527
0,424;0,108240698929876
0,426;-0,00792991905473173
0,428;-0,117029282031581
0,43;-0,165517887799069
0,432;-0,125615805969574
0,434;-0,00388920190744102
0,436;0,114301774650812
0,438;0,163800559705123
0,44;0,134000270743854
0,442;0,0456095831468701
0,444;-0,0831882759230211
0,446;-0,152890646713786
0,448;-0,151880467426963
0,45;-0,0599541523260996
0,452;0,0592470035189763
0,454;0,160264932201244
0,456;0,171881993999705
0,458;0,0870269339065999
0,46;-0,0341945805121213
0,462;-0,127636164543219
0,464;-0,175619680667296
0,466;-0,115008923457935
0,468;0,0112634873948991
0,47;0,12086794001516
0,472;0,170871814712882
0,474;0,123898477875628
0,476;0,00368714274372905
0,478;-0,104402040946297
0,48;-0,165517887799069
0,482;-0,121069999178872
0,484;-0,0422760148067027
0,486;0,0875320235500112
0,488;0,158244573627599
0,49;0,146122422185726
0,492;0,0622775413794443
0,494;-0,0483370905276388
0,496;-0,152385557070374
0,498;-0,148849929566495
0,5;-0,0715712141245604
0,502;0,0425790452864021
0,504;0,126929015736096
0,506;0,14763769111596
0,508;0,0920778303407133
0,51;-0,0205571601400152
0,512;-0,127131074899808
0,514;-0,155921184574254
0,516;-0,117534371674992
0,518;-0,00540447083767504
0,52;0,104705071425997
0,522;0,161275111488067
0,524;0,12844428466633
0,526;0,0309619834879413
0,528;-0,0826831862796098
0,53;-0,153395736357197
0,532;-0,157436453504488
0,534;-0,0624796005431563
0,536;0,0794505892554298
0,538;0,14359697396867
0,54;0,146122422185726
0,542;0,0769251410383731
0,544;-0,0493472698144615
0,546;-0,14682957099285
0,548;-0,150365198496729
0,55;-0,0887442620005459
0,552;0,0127787563251331
0,554;0,115311953937635
0,556;0,166831097565591
0,558;0,107230519643053
0,56;0,00116169452667236
0,562;-0,0988460548687726
0,564;-0,158446632791311
0,566;-0,121069999178872
0,568;-0,0235876980004832
0,57;0,0875320235500112
0,572;0,154203856480308
0,574;0,147132601472549
0,576;0,0471248520771042
0,578;-0,0690457659075037
0,58;-0,146324481349438
0,582;-0,140263405628502
0,584;-0,0624796005431563
0,586;0,033487431704998
0,588;0,1360206293175
0,59;0,154708946123719
0,592;0,0794505892554298
0,594;-0,0150011740624905
0,596;-0,12056490953546
0,598;-0,15087028814014
0,6;-0,101371503085829
0,602;0,00974821846466511
0,604;0,113796685007401
0,606;0,14359697396867
0,608;0,106725429999642
0,61;0,0117685770383105
0,612;-0,0877340827137232
